,mig_int_sex,mig_int_age,mig_int_temporalidad,mig_int_freq,mig_int_motivo,mig_int_motivo/1,mig_int_motivo/2,mig_int_motivo/3,mig_int_motivo/4,mig_int_motivo/5,mig_int_motivo/6,mig_int_motivo/7,mig_int_motivo/8,mig_int_motivo/9,mig_int_motivo/10,mig_int_motivo/11,mig_int_motivo/12,mig_int_motivo/13,mig_int_motivo/99,mig_int_gt,mig_int_gt/GT01,mig_int_gt/GT02,mig_int_gt/GT03,mig_int_gt/GT04,mig_int_gt/GT05,mig_int_gt/GT06,mig_int_gt/GT07,mig_int_gt/GT08,mig_int_gt/GT09,mig_int_gt/GT10,mig_int_gt/GT11,mig_int_gt/GT12,mig_int_gt/GT13,mig_int_gt/GT14,mig_int_gt/GT15,mig_int_gt/GT16,mig_int_gt/GT17,mig_int_gt/GT18,mig_int_gt/GT19,mig_int_gt/GT20,mig_int_gt/GT21,mig_int_gt/GT22,mig_int_slv,mig_int_slv/1184,mig_int_slv/1185,mig_int_slv/1186,mig_int_slv/1187,mig_int_slv/1188,mig_int_slv/1189,mig_int_slv/1190,mig_int_slv/1191,mig_int_slv/1192,mig_int_slv/1193,mig_int_slv/1194,mig_int_slv/1195,mig_int_slv/1196,mig_int_slv/1197,mig_int_hnd,mig_int_hnd/901725,mig_int_hnd/901726,mig_int_hnd/901727,mig_int_hnd/901728,mig_int_hnd/901729,mig_int_hnd/901730,mig_int_hnd/901731,mig_int_hnd/901732,mig_int_hnd/901733,mig_int_hnd/901734,mig_int_hnd/901735,mig_int_hnd/901736,mig_int_hnd/901737,mig_int_hnd/901738,mig_int_hnd/901739,mig_int_hnd/901740,mig_int_hnd/901741,mig_int_hnd/901742,mig_int_area,_index,_parent_table_name,rsp_id,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission__tags,country
0,2,40,1,,1 2 7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,GT01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,11,174344847,1d3bc585-be92-41c6-ac8d-f2af97fe8f77,2021-04-28T00:02:09,,[],submitted_via_web,wfpmandeteam,[],GT
1,2,35,1,,1 2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,GT01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,11,174344847,1d3bc585-be92-41c6-ac8d-f2af97fe8f77,2021-04-28T00:02:09,,[],submitted_via_web,wfpmandeteam,[],GT
2,2,27,3,1.0,1 2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,GT17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,14,176475540,2a75d173-e028-4e01-8287-6bc78bd8b95b,2021-05-06T21:46:14,,[],submitted_via_web,wfpmandeteam,[],GT
3,1,35,3,6.0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,1,4,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,38,174314990,927feaa3-3136-4b21-a912-526708c2f6e3,2021-04-27T20:48:03,,[],submitted_via_web,,[],SLV
4,2,40,99,,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,1,5,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,38,174314990,927feaa3-3136-4b21-a912-526708c2f6e3,2021-04-27T20:48:03,,[],submitted_via_web,,[],SLV
5,2,14,99,,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,1,6,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,38,174314990,927feaa3-3136-4b21-a912-526708c2f6e3,2021-04-27T20:48:03,,[],submitted_via_web,,[],SLV
6,2,3,99,,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,1,7,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,38,174314990,927feaa3-3136-4b21-a912-526708c2f6e3,2021-04-27T20:48:03,,[],submitted_via_web,,[],SLV
7,1,51,2,6.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,GT04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,52,172949868,67db9013-95c7-4343-b04f-fd6658893d5b,2021-04-21T20:49:23,,[],submitted_via_web,wfpmandeteam,[],GT
8,3,0,99,,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GT09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,53,172949870,64838c61-0a72-4bcb-9bac-7bc9d0678460,2021-04-21T20:49:24,,[],submitted_via_web,wfpmandeteam,[],GT
9,1,23,99,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,GT01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,56,172951899,447edc0b-09f4-46fe-bc5e-58ffe2821380,2021-04-21T21:07:08,,[],submitted_via_web,wfpmandeteam,[],GT
